institut,dato_start,dato_end,svar_ja,svar_nej,svar_vedikke,svar_andet,n,spoergsmaal_ordlyd,spoergsmaal_ja,spoergsmaal_nej,kilde
Megafon,"2022-03-07","2022-03-08",55,23,22,,1054,"Ville du stemme ja eller nej til at afskaffe forbeholdet?","Ja","Nej",https://nyheder.tv2.dk/politik/2022-03-08-et-flertal-vil-afskaffe-forsvarsforbeholdet-viser-ny-maaling
Voxmeter,"2022-03-07","2022-03-12",44.2,28.7,27.1,,1007,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1505873638213529600
Epinion,"2022-03-08","2022-03-15",38,23,32,7,1020,"1. juni skal der være folkeafstemning om at afskaffe det danske EU-forsvarsforbehold. Hvad vil du stemme ved folkeafstemningen?","Ja","Nej",https://www.dr.dk/nyheder/politik/folkeafstemning-om-forsvarsforbehold-flest-vil-lige-nu-stemme-ja-men-naesten-en
Wilke,"2022-03-09","2022-03-16",42.4,30.1,27.5,,1000,"Danmark har et forbehold over for at deltage i EU's forsvarspolitik.  Hvad ville du stemme, hvis der i morgen var folkeafstemning om forsvarsforbeholdet?","Forbeholdet skal afskaffes","Forbeholdet skal bevares",https://jyllands-posten.dk/politik/ECE13830014/ny-meningsmaaling-viser-hvad-vaelgerne-mener-lige-nu-om-at-afskaffe-forsvarsforbeholdet/
Voxmeter,"2022-03-14","2022-03-20",38.2,30.9,30.9,,1003,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1505873638213529600
Voxmeter,"2022-03-21","2022-03-27",40.3,35.4,24.3,,1005,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1508698394482651136
Voxmeter,"2022-03-28","2022-04-03",39.2,35.8,25.0,,1007,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1511970992050089985
Megafon,"2022-04-06","2022-04-07",61,26,13,,1004,"Hvis der var folkeafstemning i morgen, ville du så stemme ja eller nej til at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar?","Ja","Nej",https://nyheder.tv2.dk/politik/2022-04-07-ordlyden-paa-stemmesedlen-om-forsvarsforbeholdet-aendres
Megafon,"2022-04-06","2022-04-07",50,31,19,,1004,"Hvis der var folkeafstemning i morgen, ville du så stemme ja eller nej til at afskaffe Danmarks forsvarsforbehold?","Ja","Nej",https://nyheder.tv2.dk/politik/2022-04-07-ordlyden-paa-stemmesedlen-om-forsvarsforbeholdet-aendres
Voxmeter,"2022-04-06","2022-04-12",47.5,31,21.5,,1001,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://www.kristeligt-dagblad.dk/danmark/formuleringen-paa-stemmesedlen-goer-en-forskel
Voxmeter,"2022-04-06","2022-04-12",59.5,25.1,15.4,,1001,"Hvis der i dag var folkeafstemning om, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar, hvad ville du så stemme?","Ja","Nej",https://www.kristeligt-dagblad.dk/danmark/formuleringen-paa-stemmesedlen-goer-en-forskel
Epinion,"2022-03-31","2022-04-07",36,27,33,4,2102,"1. juni skal der være folkeafstemning om at afskaffe det danske EU-forsvarsforbehold. Hvad vil du stemme ved folkeafstemningen?","Ja","Nej",https://www.dr.dk/nyheder/politik/folkeafstemning-om-forsvarsforbehold-hver-tredje-er-i-tvivl
Voxmeter,"2022-04-18","2022-04-24",39.5,31.2,28.4,,1002,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1519010455972372487
Gallup,"2022-04-11","2022-04-18",47,22,32,,1098,"Stemmer du ja eller nej til, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar?","Ja","Nej",https://www.berlingske.dk/samfund/efter-ophedet-debat-aendrede-regeringen-ordlyden-paa-stemmesedlen-nu
Gallup,"2022-04-11","2022-04-18",40,26,34,,1098,"Ønsker du at afskaffe forsvarsforbeholdet?","Ja","Nej",https://www.berlingske.dk/samfund/efter-ophedet-debat-aendrede-regeringen-ordlyden-paa-stemmesedlen-nu
Gallup,"2022-04-11","2022-04-18",42,24,34,,1098,"Stemmer du ja eller nej til, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar ved at afskaffe EU-forsvarsforbeholdet?","Ja","Nej",https://www.berlingske.dk/samfund/efter-ophedet-debat-aendrede-regeringen-ordlyden-paa-stemmesedlen-nu
Epinion,"2022-04-20","2022-04-27",39,26,29,6,2090,"1. juni skal der være folkeafstemning om at afskaffe det danske EU-forsvarsforbehold. Hvad vil du stemme ved folkeafstemningen?","Ja","Nej",https://www.altinget.dk/artikel/trods-klodset-start-paa-kampagnen-fastholder-ja-siden-sin-foering-i-afstemningen-om-forsvarsforbeholdet
Megafon,"2022-05-03","2022-05-05",39,26,35,,1009,"Hvis der var folkeafstemning i morgen, ville du så stemme ja eller nej til, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar ved at afskaffe EU-forsvarsforbeholdet?","Ja","Nej",https://nyheder.tv2.dk/samfund/2022-05-06-ny-maaling-viser-stor-tvivl-hos-mange-foer-historisk-valg-det-gaelder-isaer-to
Epinion,"2022-05-01","2022-05-08",38,27,28,7,2286,"1. juni skal der være folkeafstemning om at afskaffe det danske EU-forsvarsforbehold. Hvad vil du stemme ved folkeafstemningen?","Ja","Nej",https://www.dr.dk/nyheder/politik/folkeafstemning/ja-siden-holder-fast-i-forspring-men-nu-begynder-valgkampen-alvor
Voxmeter,"2022-04-25","2022-05-01",38.4,35.0,24.2,,1067,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1524289409788567553
Voxmeter,"2022-05-02","2022-05-08",40.3,35.5,24.2,,1021,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1524289409788567553
Wilke,"2022-05-04","2022-05-10",41.0,35.1,23.8,,1078,"Danmark har et forbehold over for at deltage i EU's forsvarspolitik. Hvad ville du stemme, hvis der i morgen var folkeafstemning om forsvarsforbeholdet?","Forbeholdet skal afskaffes","Forbeholdet skal bevares",https://jyllands-posten.dk/politik/ECE14009097/valgkampen-spidser-til-ny-meningsmaaling-viser-hvad-danskerne-mener-om-forsvarsforbeholdet/
Megafon,"2022-05-11","2022-05-18",42,29,29,,2035,"Hvis der var folkeafstemning i morgen, ville du så stemme ja eller nej til, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar ved at afskaffe EU-forsvarsforbeholdet?","Ja","Nej",https://nyheder.tv2.dk/politik/2022-05-18-fortsat-solidt-flertal-til-ja-siden-viser-ny-megafon-maaling
Gallup,"2022-05-09","2022-05-16",42,26,28,4,1004,"Stemmer du ja eller nej til, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar ved at afskaffe EU-forsvarsforbeholdet?","Ja","Nej",https://www.berlingske.dk/samfund/ny-gallup-viser-et-klart-forspring-til-jasiden-men-en-professor-holder
Epinion,"2022-05-11","2022-05-18",42,28,22,8,1973,"1. juni skal der være folkeafstemning om at afskaffe det danske EU-forsvarsforbehold. Hvad vil du stemme ved folkeafstemningen?","Ja","Nej",https://www.dr.dk/nyheder/politik/folkeafstemning/ny-maaling-om-forsvarsforbeholdet-faerre-tvivler-og-ja-siden-oeger
YouGov,"2022-05-06","2022-05-09",51,33,,16,1251,"Den 1. juni skal danskerne til folkeafstemning. Stemmer du ja eller nej til, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar ved at afskaffe EU-forsvarsforbeholdet?","Ja","Nej",https://www.bt.dk/politik/ny-maaling-viser-klar-foering-til-ja-siden-en-fordel-at-situationen-i-ukraine-ikke
Voxmeter,"2022-05-09","2022-05-15",41.0,33.0,26.0,,1028,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1529063292156657665
Voxmeter,"2022-05-16","2022-05-22",45.5,30.0,24.6,,1003,"Hvis der var folkeafstemning i dag om at afskaffe det danske forsvarsforbehold i EU, hvad ville du så stemme?","Ja","Nej",https://twitter.com/Annamidtgaard/status/1529063292156657665
Gallup,"2022-05-22","2022-05-25",57,28,14,1,2048,"Stemmer du ja eller nej til, at Danmark kan deltage i det europæiske samarbejde om sikkerhed og forsvar ved at afskaffe EU-forsvarsforbeholdet?","Ja","Nej",https://www.berlingske.dk/samfund/sidste-gallup-inden-valgdagen-mette-frederiksen-men-isaer-mai-villadsen-og
